종목명,Y_Change,Y_TA
드림텍,-19.576271186440678,5464091045.020243
코스맥스,-53.2046332046332,10423788432.388664
영원무역홀딩스,-4.11522633744856,871844274.0890688
SNT모티브,-40.27777777777778,2811541279.554656
삼양홀딩스,-33.93665158371041,2457119920.6477733
현대홈쇼핑,-44.052863436123346,1161395275.708502
부광약품,-57.93611793611794,17695170826.720646
세아제강지주,87.00787401574803,3403169508.906883
SK디앤디,-28.129395218002813,2106613132.1862347
NICE,-22.22222222222222,1034625157.8947369
엠씨넥스,-30.990415335463258,9325412460.728745
디티알오토모티브,34.92822966507177,2287766089.0688257
세아베스틸,-52.03124999999999,3340177225.506073
미래에셋생명,-25.64102564102564,382308836.8016194
유안타증권,-43.20987654320987,1296338605.242915
SGC에너지,-31.27413127413127,3888598824.6963563
JW중외제약,-22.880054598191435,3985669661.3036437
흥아해운,39.228295819935695,8142537946.093118
동아에스티,-32.90993071593534,2109764557.0850203
고려제강,-16.69980119284294,2758368244.331984
송원산업,5.958549222797927,6966822500.607287
풀무원,-37.96526054590571,1438728218.825911
빙그레,-27.086614173228345,1098280016.8016195
코리아써키트,42.238267148014444,14628133258.502024
HSD엔진,4.848891873740765,5357851013.910932
LF,-22.249388753056234,1326391971.0526316
국도화학,-15.933011186867017,4962214743.226721
한국자산신탁,-26.25,844389788.2186235
삼부토건,-21.843003412969285,32002818249.068825
신성이엔지,-23.78472222222222,7676803875.080972
한국토지신탁,-30.08474576271186,3530104482.5708504
세아제강,37.94642857142857,2976158541.7004046
이수페타시스,92.83369803063457,11872718172.016193
일양약품,-42.984693877551024,3447801118.4210525
코스모화학,64.9949849548646,18545601142.404858
이수화학,26.209677419354836,10688196563.360323
넥스트사이언스,-47.98816568047337,44866297294.251015
LG헬로비전,-36.794582392776526,13178229229.17004
삼양사,-34.02225755166931,1947771453.8461537
한진,-35.24027459954233,1280199437.4493928
DI동일,-12.895577775487062,5865375551.336032
교보증권,-27.32426303854875,486682102.4696356
롯데정보통신,-34.074074074074076,1893223044.5344129
애경케미칼,-29.495798319327733,4965201789.797571
현대에너지솔루션,12.695924764890282,4864902222.469636
코오롱글로벌,-36.016096579476866,2399541072.0647774
동일산업,59.22330097087378,743271931.1740891
롯데하이마트,-52.440725244072524,1460301981.3765182
HDC,-48.72586872586873,2401806140.6477733
TYM,29.496402877697843,20951346311.720646
락앤락,-43.47826086956522,1157111766.8016195
코오롱플라스틱,37.27959697732997,21755936378.704453
스카이라이프,-22.72300469483568,866701329.8380567
한일현대시멘트,-41.39715394566624,893692547.5708503
대한제강,-33.54037267080746,4294261424.493927
SK렌터카,-39.33579335793358,1383451344.7368422
세아홀딩스,-9.765258215962442,101575486.23481782
LX하우시스,-56.67006109979633,4902870164.574899
서흥,-40.86799276672694,819594295.1417004
애경산업,-44.846292947558766,987040232.7935222
케이씨텍,-38.02083333333333,2010840367.2064776
롯데푸드,-33.97027600849257,554398255.0607288
KEC,-0.18281535648994515,34797251466.47773
퍼시스,-19.5,132795155.06072874
잇츠한불,-36.67883211678832,3748394451.417004
한전산업,-1.25,30817665979.31174
지역난방공사,-29.10958904109589,229298868.2186235
유나이티드제약,-59.14972273567468,8953545736.032389
에이프로젠 MED,-25.11013215859031,6873145674.777328
신대양제지,-1.8018018018018018,609563829.1497976
SK증권,-27.184466019417474,2634553232.813765
아이마켓코리아,-7.111111111111111,4260139601.94332
삼진제약,-9.454545454545455,1281131155.0607288
일진홀딩스,19.831932773109244,15007726028.34008
대원제약,-0.43073849803358516,24825348163.574898
한일홀딩스,-16.577376396754936,274017915.27935225
경방,-13.028169014084506,286756055.465587
STX엔진,-18.87905604719764,4577410445.668016
광동제약,-31.450719822812843,1143361904.1295547
한국콜마홀딩스,-42.40924092409241,974185755.0607288
하나제약,-18.202247191011235,598955292.1052631
한국쉘석유,-14.035087719298245,433434927.12550604
조선내화,-12.445414847161572,108279820.24291497
미원홀딩스,8.032128514056225,247530159.91902834
도화엔지니어링,3.68763557483731,4411706105.789474
현대차증권,-28.992805755395683,856358788.0566802
테이팩스,25.23020257826888,3629520083.805668
한신기계,266.4921465968587,62561309644.048584
디피씨,-49.20962199312714,13767452598.016193
환인제약,-29.166666666666668,771745669.0283401
한솔제지,-22.5609756097561,2057516185.6275303
대한제당,-1.0159651669085632,15905249026.356276
제일약품,-52.981651376146786,3167614566.194332
NPC,85.85418933623504,27042590569.554657
금호건설,-34.83870967741935,1676076145.4655871
코오롱,-32.60233918128655,3187055263.562753
종근당홀딩스,-47.31481481481482,864905697.1659919
한국철강,-33.36585365853659,1335359286.882591
대상홀딩스,-33.64406779661017,2099093596.3157895
에어부산,-51.27748824202364,3174658311.1417003
GS글로벌,17.114093959731544,21265100622.834007
TCC스틸,173.10488058151608,10982002987.813765
금호에이치티,-40.3470715835141,10550545898.562754
대동,1.7391304347826086,8244437650.647774
일진다이아,-54.05092592592593,5293206214.777328
알루코,-38.10916179337232,14041935850.546558
광주신세계,-13.554987212276215,1267301036.639676
모토닉,-33.2520325203252,428989153.9676113
동양,-50.21551724137932,4233930316.093117
동화약품,-37.12460063897763,13664080791.052631
SBS미디어홀딩스,-8.747044917257684,1152243537.6086957
웅진씽크빅,-41.48418491484185,2998680875.6477733
풍산홀딩스,-7.092198581560284,719919087.0445344
태영건설,-45.1219512195122,1034448258.1781377
유진투자증권,-40.46052631578947,831854683.7449393
키다리스튜디오,-51.47651006711409,6972709447.935223
화승인더,-39.543726235741445,1320364211.194332
일진전기,28.85662431941924,9608680299.615385
삼익THK,-6.7669172932330826,1449027697.165992
디씨엠,35.45454545454545,1943502910.931174
SNT홀딩스,-28.246013667425967,227165619.4331984
케이씨,-27.425373134328357,988940091.4979757
동부건설,-20.0,1304931251.8218625
우진,66.86320754716981,28503040749.23077
KPX홀딩스,-17.03601108033241,152554436.03238866
이월드,-49.022346368715084,4399950412.71255
무림P&P,-28.7215411558669,2568878992.813765
삼영무역,-21.176470588235293,182305480.97165993
금양,-4.81283422459893,4356618989.331984
유니퀘스트,-21.856540084388186,2298658397.9352226
동아지질,-24.776785714285715,1484795005.4655871
인스코비,-33.81410256410257,10796132210.283401
삼성출판사,-45.39473684210527,9390259670.647774
한독,-37.81362007168459,579167252.8340081
신세계 I&C,-23.28042328042328,2607942723.076923
SNT중공업,-33.30275229357798,565473797.9757085
에이프로젠제약,-52.357723577235774,1582969687.4696357
대성산업,-0.9242144177449169,8412457813.340081
대한제분,-22.437673130193904,1403645491.902834
KPX케미칼,-30.5635838150289,277706289.0688259
휴비스,-46.228070175438596,1520355876.3157895
경인양행,-20.334261838440113,2081225904.8987854
일동홀딩스,46.18055555555556,20275842382.186234
사조동아원,14.0893470790378,20482807505.951416
